og,reason
OG0084473,exon_selection
OG0076980,exon_selection
OG0062209,exon_selection
OG0090864,exon_selection
OG0087950,exon_selection
OG0062743,exon_selection
OG0088643,exon_selection
OG0088615,exon_selection
OG0077764,exon_selection
OG0088757,exon_selection
OG0062308,exon_selection
OG0069848,exon_selection
OG0056812,exon_selection
OG0088883,exon_selection
OG0076119,exon_selection
OG0062868,exon_selection
OG0084052,exon_selection
OG0070800,exon_selection
OG0083710,exon_selection
OG0085298,exon_selection
OG0077848,exon_selection
OG0068401,intron_acceleration
OG0081328,intron_acceleration
OG0078211,intron_acceleration
OG0089281,intron_acceleration
OG0090125,intron_acceleration
OG0066716,intron_acceleration
OG0084452,intron_acceleration
OG0088793,intron_acceleration
OG0078166,intron_acceleration
OG0086885,intron_acceleration
OG0084268,intron_acceleration
OG0081675,intron_acceleration
OG0085917,intron_acceleration
OG0089312,intron_acceleration
OG0094208,intron_acceleration
OG0056145,intron_acceleration
OG0089249,intron_acceleration
