og,reason
OG0068401,intron_acceleration
OG0081328,intron_acceleration
OG0078211,intron_acceleration
OG0089281,intron_acceleration
OG0090125,intron_acceleration
OG0066716,intron_acceleration
OG0084452,intron_acceleration
OG0088793,intron_acceleration
OG0078166,intron_acceleration
OG0086885,intron_acceleration
OG0084268,intron_acceleration
OG0081675,intron_acceleration
OG0085917,intron_acceleration
OG0089312,intron_acceleration
OG0094208,intron_acceleration
OG0056145,intron_acceleration
OG0089249,intron_acceleration
