Orthogroup,Clade,N_Sites,Mean_PhyloP_Score,N_Conserved_Sites,N_Accelerated_Sites,Pct_Conserved,Pct_Accelerated
OG0056145,A1,588,-0.003,0,3,0,0.51
OG0056145,A2,588,-0.15,0,20,0,3.4
OG0056145,B,588,0.128,0,2,0,0.34
OG0056145,C,588,-0.027,0,3,0,0.51
OG0056145,D,588,-0.046,0,13,0,2.21
OG0056145,E,588,-0.023,0,18,0,3.06
OG0056145,Outgroup,588,-0.595,0,192,0,32.65
OG0056235,A1,2442,0.008,0,3,0,0.12
OG0056235,A2,2442,-0.065,0,26,0,1.06
OG0056235,B,2442,0.113,0,8,0,0.33
OG0056235,C,2442,-0.011,0,18,0,0.74
OG0056235,D,2442,-0.026,0,9,0,0.37
OG0056235,E,2442,-0.027,0,57,0,2.33
OG0056235,Outgroup,2442,0.043,0,0,0,0.0
OG0061528,A1,486,0.001,0,1,0,0.21
OG0061528,A2,486,0.052,0,0,0,0.0
OG0061528,B,486,-0.401,0,111,0,22.84
OG0061528,C,486,0.108,0,5,0,1.03
OG0061528,D,486,0.228,0,2,0,0.41
OG0061528,E,486,-0.284,0,54,0,11.11
OG0061528,Outgroup,486,0.102,0,1,0,0.21
OG0061672,A1,1020,-0.078,0,12,0,1.18
OG0061672,A2,1020,-0.052,0,5,0,0.49
OG0061672,B,1020,-0.05,0,13,0,1.27
OG0061672,C,1020,-0.012,0,7,0,0.69
OG0061672,D,1020,-0.001,0,3,0,0.29
OG0061672,E,1020,-0.1,0,23,0,2.25
OG0061672,Outgroup,1020,-0.182,0,22,0,2.16
OG0061704,A1,1482,0.012,0,0,0,0.0
OG0061704,A2,1482,0.049,0,3,0,0.2
OG0061704,B,1482,0.12,0,17,0,1.15
OG0061704,C,1482,0.109,0,10,0,0.67
OG0061704,D,1482,0.22,0,4,0,0.27
OG0061704,E,1482,-0.091,0,50,0,3.37
OG0061704,Outgroup,1482,-0.17,0,68,0,4.59
OG0066716,A1,408,0.019,0,0,0,0.0
OG0066716,A2,408,0.038,0,0,0,0.0
OG0066716,B,408,0.115,0,0,0,0.0
OG0066716,C,408,0.046,0,4,0,0.98
OG0066716,D,408,-0.928,0,227,0,55.64
OG0066716,E,408,0.059,0,5,0,1.23
OG0066716,Outgroup,408,0.06,0,1,0,0.25
OG0066752,A1,399,0.028,0,0,0,0.0
OG0066752,A2,399,0.048,0,1,0,0.25
OG0066752,B,399,-0.167,0,91,0,22.81
OG0066752,C,399,0.056,0,2,0,0.5
OG0066752,D,399,-0.392,0,42,0,10.53
OG0066752,E,399,0.124,0,0,0,0.0
OG0066752,Outgroup,399,0.046,0,9,0,2.26
OG0067714,A1,1212,0.027,0,1,0,0.08
